职位名称,公司名称,工作城市,薪资范围,学历要求,公司类型,公司规模,职位类别,工作经验,福利待遇
运维工程师,湖南中惠旅石燕湖旅游管理有限公司,长沙,6千-8千,本科,民营,1000-9999人,IT运维/技术支持,3-5年,"包住,包吃,五险一金"
硬件测试工程师,长沙海格北斗信息技术有限公司,长沙,6千-1.2万,本科,国企,100-299人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,加班补助,餐补,带薪年假,定期体检,节日福利,周末双休"
设备工程师,比亚迪,长沙,8千-1万,本科,民营,10000人以上,IT运维/技术支持,3-5年,"五险一金,绩效奖金,带薪年假"
【某股份制商业银行】系统管理岗,智联RPO,长沙,面议,本科,合资,1000-9999人,IT运维/技术支持,3-5年,"周末双休,五险一金,定期体检,带薪年假,节日福利"
高级FAE工程师,景嘉微,长沙,1万-1.4万,本科,上市公司,500-999人,IT质量管理/测试/配置管理,3-5年,"五险一金,餐补,带薪年假,定期体检,员工旅游,节日福利,年终奖"
WMS实施工程师,蓝思系统集成有限公司,长沙,8千-1.6万,本科,民营,300-499人,客服/售前/售后技术支持,3-5年,"五险一金,包住,餐补,带薪年假,定期体检,年终奖,节日福利,房补"
软件测试,湖南长城医疗科技有限公司,长沙,9千-1.2万,本科,国企,1000-9999人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,餐补,补充医疗保险,节日福利,高温补贴,定期体检,周末双休"
运维工程师,北京金惠新悦科技有限公司,长沙,6千-8千,本科,民营,100-299人,IT运维/技术支持,3-5年,"加班补助,五险一金,周末双休,餐补,通讯补助,带薪年假,节日福利"
SAP实施工程师（PP),中联重科,长沙,8千-1万,本科,合资,10000人以上,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,带薪年假,定期体检,周末双休,节日福利"
国内售前（长沙）,厦门亿联网络,长沙,1万-1.5万,本科,上市公司,1000-9999人,客服/售前/售后技术支持,3-5年,"五险一金,年底双薪,绩效奖金,全勤奖,周末双休,定期体检,14薪,加班补助"
热泵工程师,湖南思为能源环保工程有限公司,长沙,1万-1.5万,本科,民营,20-99人,客服/售前/售后技术支持,3-5年,"五险一金,包住,交通补助,餐补,通讯补助,定期体检,节日福利"
高级售前工程师（济南、长沙）,浪潮集团,长沙,1万-2万,本科,国企,10000人以上,客服/售前/售后技术支持,3-5年,"加班补助,绩效奖金,五险一金,节日福利,通讯补助,带薪年假,周末双休,定期体检"
测试工程师（需出差）,东方微银科技(重庆)有限公司,长沙,1万-1.5万,本科,民营,300-499人,IT质量管理/测试/配置管理,3-5年,"五险一金,餐补,通讯补助,带薪年假,定期体检,大牛带队,工作居住证,节日福利"
测试工程师,湖南瀚德微创医疗科技有限公司,长沙,4千-6千,本科,合资,20-99人,电子/电器/半导体/仪器仪表,3-5年,"五险一金,年底双薪,餐补,房补,带薪年假,定期体检,高温补贴,节日福利"
售后服务经理（售后维修技术工程师）(J25598),京东方科技集团,长沙,8千-1万,本科,上市公司,10000人以上,客服/售前/售后技术支持,3-5年,"节日福利,五险一金,绩效奖金,餐补,采暖补贴,带薪年假,补充医疗保险,定期体检"
硬件测试工程师,长沙万为机器人有限公司,长沙,8千-1万,本科,民营,20-99人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,加班补助,弹性工作"
系统集成售前工程师,重庆信科通信工程有限公司,长沙,6千-8千,本科,国企,1000-9999人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,交通补助,通讯补助,带薪年假,补充医疗保险,节日福利,定期体检"
高级售前工程师,北明软件有限公司北京分公司,长沙,1.2万-1.6万,本科,民营,500-999人,客服/售前/售后技术支持,3-5年,"周末双休,五险一金,餐补,带薪年假,员工旅游,定期体检,补充医疗保险"
硬件测试工程师,中联重科,长沙,6千-9千,本科,合资,10000人以上,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,带薪年假,免费班车"
实施顾问（财务）,金蝶软件（中国）有限公司,长沙,1万-1.8万,本科,上市公司,1000-9999人,客服/售前/售后技术支持,3-5年,"五险一金,带薪年假,弹性工作,补充医疗保险,员工旅游,节日福利,定期体检,通讯补助"
售后维护员,徐州市新思维工贸有限公司,长沙,5千-6千,本科,民营,100-299人,客服/售前/售后技术支持,3-5年,"绩效奖金,交通补助,带薪年假"
网络安全运维工程师,湖南湘江智能科技创新中心有限公司,长沙,6千-1.2万,本科,国企,20-99人,IT运维/技术支持,3-5年,"补充医疗保险,定期体检,带薪年假,通讯补助,交通补助,餐补,绩效奖金,五险一金"
DBA工程师,长沙市丰彩好润佳百货有限公司,长沙,8千-1.2万,本科,民营,1000-9999人,IT运维/技术支持,3-5年,"五险一金,年底双薪,绩效奖金,包吃,带薪年假,弹性工作,员工旅游,节日福利"
软件运维工程师,中联重科,长沙,8千-1.2万,本科,合资,10000人以上,IT运维/技术支持,3-5年,"包住,五险一金,绩效奖金,带薪年假,交通补助"
项目支持工程师,苏州科达,长沙,8千-1.2万,本科,上市公司,1000-9999人,客服/售前/售后技术支持,3-5年,"五险一金,通讯补助,带薪年假,交通补助,定期体检"
体验评测,海普信息技术服务有限公司,长沙,4千-6千,本科,民营,100-299人,IT质量管理/测试/配置管理,3-5年,"餐补,定期团建,免费停车,节日福利,绩效奖金,带薪年假,全勤奖,五险"
运维工程师,北京洛斯达科技发展有限公司,长沙,8千-1.5万,本科,国企,100-299人,IT运维/技术支持,3-5年,"五险一金,加班补助,定期体检,包吃,带薪年假"
调度信息管理专员,湘能楚天电力科技有限公司,长沙,6千-8千,本科,民营,100-299人,IT运维/技术支持,3-5年,"五险一金,绩效奖金,包住,餐补,节日福利"
SAP实施顾问（PP）,中联重科,长沙,1万-1.5万,本科,合资,10000人以上,客服/售前/售后技术支持,3-5年,"五险一金,全勤奖,交通补助,餐补,包住,带薪年假,通讯补助,包吃"
网络工程师,好未来,长沙,1万-1.5万,本科,上市公司,10000人以上,IT运维/技术支持,3-5年,"带薪年假,试用期全额,定期体检,节日福利"
软件测试工程师,创辉达设计股份有限公司,长沙,6千-8千,本科,民营,300-499人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,餐补,定期体检,弹性工作,带薪年假,通讯补助"
高级渗透测试工程师,湖南大唐先一科技有限公司,长沙,1.5万-2万,本科,国企,500-999人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,包吃,带薪年假,通讯补助,节日福利,定期体检,高温补贴"
高级测试工程师（可兼职）,合肥观六智能科技有限公司,长沙,1万-1.5万,本科,民营,20-99人,电子/电器/半导体/仪器仪表,3-5年,"五险一金,14薪,周末双休,免费停车,不加班"
服务配件IT经理（服务配件室）,中联重科,长沙,1万-1.5万,本科,合资,10000人以上,IT运维/技术支持,3-5年,"五险一金,绩效奖金,带薪年假,定期体检,年底双薪,餐补,房补"
应用工程师（上市公司+六险一金）(J11735),华宇信息,长沙,6千-8千,本科,上市公司,1000-9999人,IT运维/技术支持,3-5年,"五险一金,周末双休,餐补,定期体检,带薪年假,补充医疗保险,弹性工作,节日福利"
售前支撑工程师,世纪恒通（石家庄）,长沙,8千-1万,本科,民营,1000-9999人,客服/售前/售后技术支持,3-5年,"节日福利,五险一金,电脑补贴,周末双休,全勤奖,带薪年假"
解决方案经理,中国长城,长沙,1万-2万,本科,国企,10000人以上,客服/售前/售后技术支持,3-5年,"五险一金,周末双休"
技术助理,北京瑞派利尔医疗科技有限公司,长沙,4千-6千,本科,民营,20-99人,客服/售前/售后技术支持,3-5年,"五险一金,年底双薪,绩效奖金,交通补助,餐补,通讯补助,定期体检,节日福利"
软件实施工程师,心医国际,长沙,6千-1万,本科,合资,500-999人,客服/售前/售后技术支持,3-5年,"带薪年假,周末双休,节日福利,定期团建,五险一金"
测试工程师,海康威视,长沙,1万-1.5万,本科,上市公司,10000人以上,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,交通补助,餐补,通讯补助,带薪年假,高温补贴,14薪"
软件测试工程师,湖南省佳策测评信息技术服务有限公司,长沙,5千-1万,本科,民营,20-99人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,全勤奖,交通补助,餐补,通讯补助,带薪年假,定期体检"
长沙运维中心交付运维负责人,浪潮集团,长沙,8千-1.6万,本科,国企,10000人以上,IT运维/技术支持,3-5年,"五险一金,绩效奖金,带薪年假,交通补助,通讯补助,定期体检"
数据安全工程师,蓝思系统集成有限公司,长沙,8千-1万,本科,民营,300-499人,IT运维/技术支持,3-5年,"五险一金,包住,餐补,带薪年假,定期体检,年终奖,节日福利,房补"
售前工程师,上海英方软件股份有限公司,长沙,1万-1.5万,本科,合资,100-299人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,带薪年假,定期体检,节日福利,股票期权"
ERP项目实施ZX,鼎捷软件,长沙,1万-1.5万,本科,上市公司,1000-9999人,客服/售前/售后技术支持,3-5年,"五险一金,餐补,通讯补助,带薪年假,补充医疗保险,定期体检,节日福利,绩效奖金"
DBA工程师,长沙市丰彩好润佳百货有限公司,长沙,8千-1.2万,本科,民营,1000-9999人,IT运维/技术支持,3-5年,"五险一金,年底双薪,绩效奖金,包吃,带薪年假,弹性工作,员工旅游,节日福利"
产品技术支持工程师,武汉达梦数据库有限公司,长沙,8千-1.5万,本科,国企,500-999人,IT运维/技术支持,3-5年,"周末双休,餐补,节日福利,定期体检,五险一金,绩效奖金,带薪年假"
设备工程师,湖南博翔新材料有限公司,长沙,6千-1.2万,本科,民营,100-299人,IT运维/技术支持,3-5年,"包住,包吃,五险一金,节日福利,绩效奖金,周末双休,交通补助,项目奖金"
智能制造IT实施工程师-自动化,中联重科,长沙,1万-1.5万,本科,合资,10000人以上,IT运维/技术支持,3-5年,"五险一金,绩效奖金,带薪年假,定期体检,周末双休,节日福利"
DBA,金蝶软件（中国）有限公司,长沙,1.2万-2.4万,本科,上市公司,1000-9999人,IT运维/技术支持,3-5年,"交通补助,带薪年假,补充医疗保险,员工旅游,节日福利,周末双休,绩效奖金,五险一金"
调度信息管理专员,湘能楚天电力科技有限公司,长沙,6千-8千,本科,民营,100-299人,IT运维/技术支持,3-5年,"五险一金,绩效奖金,包住,餐补,节日福利"
高级ERP系统测试工程师,深圳谱程未来科技有限公司,长沙,8千-1万,本科,民营,100-299人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,全勤奖,带薪年假,定期体检,周末双休,加班补助"
软件测试工程师（项目交付部-长沙）,大连同方软银科技股份有限公司,长沙,7千-9千,本科,上市公司,500-999人,IT质量管理/测试/配置管理,3-5年,"绩效奖金,股票期权,交通补助,餐补,带薪年假,节日福利,六险一金,定期团建"
技术助理,北京瑞派利尔医疗科技有限公司,长沙,4千-6千,本科,民营,20-99人,客服/售前/售后技术支持,3-5年,"五险一金,年底双薪,绩效奖金,交通补助,餐补,通讯补助,定期体检,节日福利"
ATE工程师,湖南融创微电子有限公司,长沙,1.2万-1.6万,本科,民营,20-99人,IT质量管理/测试/配置管理,3-5年,"五险一金,年底双薪,绩效奖金,全勤奖,带薪年假,定期体检,节日福利,员工旅游"
软件实施工程师,科创信息,长沙,5千-8千,本科,上市公司,1000-9999人,IT运维/技术支持,3-5年,"五险一金,餐补,带薪年假,节日福利,定期体检,周末双休,员工旅游"
高级测试工程师（可兼职）,合肥观六智能科技有限公司,长沙,1万-1.5万,本科,民营,20-99人,电子/电器/半导体/仪器仪表,3-5年,"五险一金,14薪,周末双休,免费停车,不加班"
售后服务工程师,比亚迪,长沙,8千-1万,本科,民营,10000人以上,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,带薪年假"
标准化工程师,楚天科技,长沙,8千-1.3万,本科,上市公司,1000-9999人,IT质量管理/测试/配置管理,3-5年,"五险一金,年底双薪,绩效奖金,包住,定期体检,免费班车,节日福利"
数据安全工程师,蓝思系统集成有限公司,长沙,8千-1万,本科,民营,300-499人,IT运维/技术支持,3-5年,"五险一金,包住,餐补,带薪年假,定期体检,年终奖,节日福利,房补"
服务工程师,三一集团,长沙,8千-1.5万,本科,民营,10000人以上,客服/售前/售后技术支持,3-5年,"周末双休,五险一金,绩效奖金,带薪年假,节日福利,定期体检,包吃,包住"
信息安全工程师,道道全,长沙,5千-1万,本科,上市公司,500-999人,IT运维/技术支持,3-5年,"五险一金,带薪年假,节日福利,加班补助,定期体检,绩效奖金,周末双休,高温补贴"
设备工程师,湖南博翔新材料有限公司,长沙,6千-1.2万,本科,民营,100-299人,IT运维/技术支持,3-5年,"包住,包吃,五险一金,节日福利,绩效奖金,周末双休,交通补助,项目奖金"
网络工程师,天源迪科,长沙,6千-8千,本科,民营,1000-9999人,IT运维/技术支持,3-5年,"五险一金,节日福利,周末双休"
高级售前顾问（长沙）,安恒信息,长沙,1万-2万,本科,上市公司,1000-9999人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,全勤奖,交通补助,通讯补助,带薪年假,定期体检,员工旅游"
ATE工程师,湖南融创微电子有限公司,长沙,1.2万-1.6万,本科,民营,20-99人,IT质量管理/测试/配置管理,3-5年,"五险一金,年底双薪,绩效奖金,全勤奖,带薪年假,定期体检,节日福利,员工旅游"
测试组长,杭州友声科技股份有限公司,长沙,7千-1.2万,本科,民营,100-299人,IT质量管理/测试/配置管理,3-5年,"周末双休,五险一金,绩效奖金,餐补,带薪年假,定期体检,员工旅游,节日福利"
技术支持（DBA）华南,用友金融信息技术有限公司,长沙,1.2万-2万,本科,上市公司,1000-9999人,IT运维/技术支持,3-5年,"五险一金,绩效奖金,交通补助,餐补,通讯补助"
高级ERP系统测试工程师,深圳谱程未来科技有限公司,长沙,8千-1万,本科,民营,100-299人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,全勤奖,带薪年假,定期体检,周末双休,加班补助"
测试兼实施工程师,湖南麒麟创新科技有限公司,长沙,6千-1.1万,本科,民营,20-99人,IT质量管理/测试/配置管理,3-5年,"五险一金,餐补,员工旅游,定期团建,大牛带队,节日福利,带薪年假,公司重点项目"
IT技术支持（桌面运维）,好未来,长沙,1万-1.5万,本科,上市公司,10000人以上,IT运维/技术支持,3-5年,"五险一金,周末双休,节日福利,定期体检,绩效奖金,年底双薪,全勤奖,带薪年假"
售后服务工程师,比亚迪,长沙,8千-1万,本科,民营,10000人以上,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,带薪年假"
项目实施工程师,湖南先森智能科技有限公司,长沙,8千-1.2万,本科,民营,20-99人,客服/售前/售后技术支持,3-5年,"股票期权,绩效奖金,国标补助,每年调薪,五险一金,带薪年假,节日福利,周末双休"
MES实施工程师,道道全,长沙,5千-1万,本科,上市公司,500-999人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,包吃,节日福利,创业公司"
项目实施工程师,湖南先森智能科技有限公司,长沙,8千-1.2万,本科,民营,20-99人,客服/售前/售后技术支持,3-5年,"股票期权,绩效奖金,国标补助,每年调薪,五险一金,带薪年假,节日福利,周末双休"
软件售前工程师（软件需求分析师）,湖南明创信息系统集成有限公司,长沙,1万-1.5万,本科,民营,20-99人,客服/售前/售后技术支持,3-5年,"绩效奖金,餐补,带薪年假,定期体检,节日福利,五险一金,周末双休"
售前顾问,湖南金蝶软件科技有限公司,长沙,1万-1.5万,本科,上市公司,100-299人,客服/售前/售后技术支持,3-5年,"五险一金,交通补助,通讯补助,带薪年假,补充医疗保险,定期体检,员工旅游,节日福利"
服务工程师,三一集团,长沙,8千-1.5万,本科,民营,10000人以上,客服/售前/售后技术支持,3-5年,"周末双休,五险一金,绩效奖金,带薪年假,节日福利,定期体检,包吃,包住"
售后调试经理,远大住工,长沙,8千-1万,本科,民营,1000-9999人,客服/售前/售后技术支持,3-5年,"节日福利,五险一金,绩效奖金,餐补,带薪年假,包吃,包住,周末双休"
网络工程师,好未来,长沙,1万-1.5万,本科,上市公司,10000人以上,IT运维/技术支持,3-5年,"五险一金,绩效奖金,定期体检,节日福利,商业保险,补充医疗保险,年底双薪,带薪年假"
测试兼实施工程师,湖南麒麟创新科技有限公司,长沙,6千-1.1万,本科,民营,20-99人,IT质量管理/测试/配置管理,3-5年,"五险一金,餐补,员工旅游,定期团建,大牛带队,节日福利,带薪年假,公司重点项目"
信息副经理,长沙万达广场商业物业管理有限公司,长沙,8千-1万,本科,民营,20-99人,IT运维/技术支持,3-5年,"五险一金,包吃,节日福利,周末双休"
咨询顾问,中国软件,长沙,1.2万-2万,本科,上市公司,10000人以上,客服/售前/售后技术支持,3-5年,"通讯补助,带薪年假,定期体检,节日福利,餐补,五险一金"
测试组长,杭州友声科技股份有限公司,长沙,7千-1.2万,本科,民营,100-299人,IT质量管理/测试/配置管理,3-5年,"周末双休,五险一金,绩效奖金,餐补,带薪年假,定期体检,员工旅游,节日福利"
高级文档云技术工程师,上海爱数,长沙,1.5万-2万,本科,民营,1000-9999人,客服/售前/售后技术支持,3-5年,"五险一金,年底双薪,绩效奖金,交通补助,餐补,弹性工作,节日福利,年终分红"
网络工程师,天源迪科,长沙,6千-8千,本科,民营,1000-9999人,IT运维/技术支持,3-5年,"五险一金,节日福利,周末双休"
售前工程师（平安城市）,广州市高科通信技术股份有限公司,长沙,1万-1.5万,本科,民营,100-299人,客服/售前/售后技术支持,3-5年,"五险一金,节日福利,带薪年假,周末双休,加班补助,定期体检,交通补助,绩效奖金"
设备维护工程师/自动化工程师,诸城市华旭机械有限公司,长沙,1万-1.5万,本科,民营,500-999人,机械设计/制造/维修,3-5年,"五险一金,包住,节日福利,带薪年假,绩效奖金,包吃,15薪,项目奖金"
标准化项目管理人员,湖南天择质量技术服务有限公司,长沙,4千-6千,本科,民营,20人以下,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,年底双薪,带薪年假,定期团建,节日福利,周末双休"
ERP实施顾问,长沙十锐信息科技有限公司,长沙,8千-1.2万,本科,民营,20-99人,IT运维/技术支持,3-5年,"五险一金,年底双薪,周末双休,绩效奖金,带薪年假"
测试工程师,长沙市校管家教育科技有限公司,长沙,8千-1.2万,本科,民营,100-299人,电子/电器/半导体/仪器仪表,3-5年,"五险一金,餐补,房补,定期体检,补充医疗保险,带薪年假,周末双休,节日福利"
数据库工程师,北京中亦安图科技股份有限公司,长沙,1万-1.5万,本科,民营,500-999人,IT运维/技术支持,3-5年,"五险一金,绩效奖金,交通补助,通讯补助,带薪年假,弹性工作,补充医疗保险,定期体检"
软件测试工程师,上海敢创科技有限公司长沙分公司,长沙,5千-8千,本科,民营,20-99人,IT质量管理/测试/配置管理,3-5年,"五险一金,年底双薪,绩效奖金,加班补助,全勤奖,餐补,带薪年假,员工旅游"
高级实施工程师-湖南,太极华青信息系统有限公司,长沙,5千-1万,本科,民营,500-999人,IT运维/技术支持,3-5年,"五险一金,周末双休,餐补,通讯补助,定期体检,带薪年假,绩效奖金,工作居住证"
售前技术支持经理,云蜂数智物联网有限公司,长沙,1.1万-2.2万,本科,民营,20-99人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,补充医疗保险,定期体检,带薪年假,弹性工作"
售前技术交流工程师,湖南镭目科技有限公司,长沙,8千-1.5万,本科,民营,500-999人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,包吃,包住,餐补,免费班车,节日福利,带薪年假"
设备工程师(J10920),三一集团,长沙,1万-1.5万,本科,民营,10000人以上,机械设计/制造/维修,3-5年,"五险一金,绩效奖金,包住,节日福利,带薪年假,餐补,定期体检"
售前工程师,成都中科大旗软件股份有限公司,长沙,8千-1.5万,本科,民营,100-299人,客服/售前/售后技术支持,3-5年,"周末双休,绩效奖金,节日福利,五险一金"
DBA(J20623),三一集团,长沙,1万-2万,本科,民营,10000人以上,IT运维/技术支持,3-5年,"五险一金,绩效奖金,节日福利,包住,包吃,餐补,带薪年假,周末双休"
高级软件测试工程师,北京赛德盛医药科技股份有限公司,长沙,8千-1.5万,本科,民营,100-299人,IT质量管理/测试/配置管理,3-5年,"五险一金,带薪年假,补充医疗保险,定期体检,节日福利,定期团建,大牛带队,公司重点项目"
HIS实施经理,湖南誉昌信息科技有限公司,长沙,6千-1万,本科,民营,20-99人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,交通补助,餐补,弹性工作,年底双薪,房补,定期体检"
软件测试工程师,深圳市鼎驰科技发展有限公司,长沙,1万-1.5万,本科,民营,100-299人,IT质量管理/测试/配置管理,3-5年,"五险一金,餐补,带薪年假,加班补助,年底双薪"
IT经理,湖南圣湘生物科技有限公司,长沙,1万-1.5万,本科,民营,500-999人,IT运维/技术支持,3-5年,"五险一金,年底双薪,餐补,通讯补助,带薪年假,定期体检,高温补贴,节日福利"
网络工程师,湖南华诺星空电子技术有限公司,长沙,7千-1.4万,本科,民营,100-299人,IT运维/技术支持,3-5年,"五险一金,餐补,年终奖,周末双休,每年多次调薪,大牛带队,提供住宿,通讯补助"
高级测试工程师,湖南先森智能科技有限公司,长沙,5千-1万,本科,民营,20-99人,IT质量管理/测试/配置管理,3-5年,"股票期权,绩效奖金,国标补助,每年调薪,五险一金,带薪年假,节日福利,周末双休"
临床应用专员,北京高视远望科技有限责任公司,长沙,8千-1万,本科,民营,500-999人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,交通补助,通讯补助,带薪年假,补充医疗保险,定期体检"
渗透测试工程师,湖南省佳策测评信息技术服务有限公司,长沙,6千-1万,本科,民营,20-99人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,全勤奖,交通补助,餐补,通讯补助,带薪年假,定期体检"
系统集成售前工程师,湖南高至科技有限公司,长沙,8千-1.3万,本科,民营,100-299人,客服/售前/售后技术支持,3-5年,"每年多次调薪,五险一金,年底双薪,绩效奖金,带薪年假,弹性工作,节日福利"
解决方案售前经理,广州优亿信息科技有限公司,长沙,8千-1.5万,本科,民营,100-299人,客服/售前/售后技术支持,3-5年,"节日福利,周末双休"
技术支持工程师,广州安波通信科技有限公司湖南分公司,长沙,8千-1.5万,本科,民营,100-299人,客服/售前/售后技术支持,3-5年,"五险一金,年底双薪,绩效奖金,交通补助,包吃,带薪年假,周末双休"
运维开发工程师,中科天智运控(深圳)科技有限公司,长沙,8千-1万,本科,民营,20-99人,IT运维/技术支持,3-5年,"五险一金,绩效奖金,带薪年假,创业公司,周末双休,年底双薪"
高级软件测试工程师,三一集团,长沙,1.2万-2.4万,本科,民营,10000人以上,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,餐补,带薪年假,免费班车,节日福利,包住,股票期权"
系统工程师,北京中亦安图科技股份有限公司,长沙,1万-1.5万,本科,民营,500-999人,IT运维/技术支持,3-5年,"五险一金,绩效奖金,通讯补助,带薪年假,补充医疗保险,定期体检,加班补助"
UAT（寿险公司用户验收）测试员,海普信息技术服务有限公司,长沙,4千-6千,本科,民营,100-299人,IT质量管理/测试/配置管理,3-5年,"五险一金,餐补,定期团建,免费停车,节日福利,绩效奖金,带薪年假,全勤奖"
运维工程师,湖南惟楚有才教育科技有限公司,长沙,6千-8千,本科,民营,100-299人,IT运维/技术支持,3-5年,"带薪年假,节日福利,五险一金,年底双薪,全勤奖,周末双休,交通补助,餐补"
售前技术支持工程师（长沙）,成都小步创想慧联科技有限公司,长沙,1万-1.5万,本科,民营,100-299人,客服/售前/售后技术支持,3-5年,"年底双薪,绩效奖金,弹性工作"
高级网络工程师,湖南康为信息技术有限公司,长沙,1万-1.5万,本科,民营,20-99人,IT运维/技术支持,3-5年,"绩效奖金,年终分红,加班补助,员工旅游,节日福利,14薪,五险,周末双休"
实施工程师,特力惠信息科技股份有限公司,长沙,5千-1万,本科,民营,500-999人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,带薪年假,补充医疗保险,高温补贴,节日福利"
测试工程师,创智和宇信息技术股份有限公司,长沙,5千-7千,本科,民营,1000-9999人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,餐补,定期体检,带薪年假"
BA工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,IT运维/技术支持,3-5年,"五险一金,年底双薪,包住,包吃,绩效奖金,年终分红,加班补助"
解决方案经理,特力惠信息科技股份有限公司,长沙,8千-1.5万,本科,民营,500-999人,客服/售前/售后技术支持,3-5年,"五险一金,带薪年假,补充医疗保险,高温补贴,节日福利,周末双休"
高级售前工程师,北明软件有限公司北京分公司,长沙,1.2万-1.6万,本科,民营,500-999人,客服/售前/售后技术支持,3-5年,"周末双休,五险一金,餐补,带薪年假,员工旅游,定期体检,补充医疗保险"
IT工程师,湖南砺石科技有限公司,长沙,8千-1万,本科,民营,100-299人,IT运维/技术支持,3-5年,"五险一金,交通补助,通讯补助,带薪年假,补充医疗保险,定期体检,周末双休,年底双薪"
运维工程师,湖南视拓信息技术股份有限公司,长沙,8千-1.2万,本科,民营,100-299人,IT运维/技术支持,3-5年,"五险一金,年底双薪,绩效奖金,加班补助,交通补助,餐补,节日福利,股票期权"
数字（智慧）城管售前工程师,湖南图元云技术有限公司,长沙,8千-1.4万,本科,民营,100-299人,客服/售前/售后技术支持,3-5年,"绩效奖金,带薪年假,定期体检,员工旅游,节日福利,五险一金"
标准化工程师（长高集团）,长高集团,长沙,5千-7千,本科,民营,500-999人,IT质量管理/测试/配置管理,3-5年,"五险一金,绩效奖金,全勤奖,包住,节日福利,免费班车,员工食堂,股票期权"
QMS实施工程师,蓝思系统集成有限公司,长沙,8千-1.6万,本科,民营,300-499人,客服/售前/售后技术支持,3-5年,"五险一金,包住,餐补,带薪年假,定期体检,年终奖,节日福利,房补"
高级linux实施工程师（长沙）,捷通华声,长沙,8千-1.5万,本科,民营,100-299人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,交通补助,周末双休,通讯补助,餐补"
售前助理工程师,北京神州慧安科技有限公司,长沙,8千-1.2万,本科,民营,20-99人,客服/售前/售后技术支持,3-5年,"五险一金,交通补助,餐补,通讯补助,周末双休"
可靠性测试工程师,湖南明康中锦医疗科技发展有限公司,长沙,6千-8千,本科,民营,100-299人,电子/电器/半导体/仪器仪表,3-5年,"五险一金,交通补助,通讯补助,带薪年假,定期体检,高温补贴,节日福利,绩效奖金"
系统运维,微智全景,长沙,8千-1万,本科,民营,100-299人,IT运维/技术支持,3-5年,"五险一金,带薪年假,交通补助,弹性工作"
PLM实施顾问,通力凯顿（北京）系统集成有限公司,长沙,1万-1.8万,本科,民营,100-299人,客服/售前/售后技术支持,3-5年,"五险一金,绩效奖金,餐补,带薪年假,弹性工作,补充医疗保险,定期体检,节日福利"
数据库管理员,湖南惟楚有才教育科技有限公司,长沙,8千-1万,本科,民营,100-299人,IT运维/技术支持,3-5年,"带薪年假,节日福利,五险一金,年底双薪,全勤奖,周末双休,交通补助,餐补"
售后服务部部长,湖南致同工程科技有限公司,长沙,1.5万-2万,本科,民营,20-99人,客服/售前/售后技术支持,3-5年,"五险一金,年终分红,定期体检,员工旅游,节日福利,带薪年假,餐补,项目奖金"
网络工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,IT运维/技术支持,3-5年,"五险一金,绩效奖金,节日福利,全额公积金,带薪年假,餐补,定期体检"
信息安全工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,IT运维/技术支持,3-5年,"五险一金,绩效奖金,带薪年假,免费班车,节日福利,现金股票,餐补,定期体检"
测试工程师,三一集团,长沙,1万-1.5万,本科,民营,10000人以上,IT质量管理/测试/配置管理,3-5年,"五险一金,年底双薪,绩效奖金,年终分红,股票期权,带薪年假,项目奖金,节日福利"
测试工程师,湖南旻一生物科技有限公司,长沙,8千-1万,本科,民营,20-99人,电子/电器/半导体/仪器仪表,3-5年,"绩效奖金,带薪年假,定期体检,节日福利,五险,餐补,定期团建,周末双休"
