职位名称,公司名称,工作城市,薪资范围,学历要求,公司类型,公司规模,职位类别,工作经验,福利待遇
区域销售负责人,上海欣方智能系统有限公司,长沙,8千-1万,本科,合资,100-299人,销售业务,3-5年,"五险一金,绩效奖金,通讯补助,带薪年假,补充医疗保险,定期体检"
电子电气化学测试销售工程师,SGS,长沙,5千-6千,本科,合资,10000人以上,销售业务,3-5年,
市场销售,湖南广电网络云数据有限公司,长沙,6千-8千,本科,合资,20-99人,销售业务,3-5年,"周末双休,五险一金,定期体检,带薪年假,节日福利,交通补助,通讯补助,餐补"
招商经理（长沙/南昌）,华润昂德生物药业有限公司,长沙,1万-1.5万,本科,合资,100-299人,销售业务,3-5年,"五险一金,高温补贴,带薪年假,定期体检,节日福利,交通补助"
运营商经理,小米通讯,长沙,1万-1.5万,本科,合资,1000-9999人,销售管理,3-5年,
招商主管,长沙市天健房地产开发有限公司,长沙,6千-1.2万,本科,合资,100-299人,销售业务,3-5年,"五险一金,包吃,定期体检,节日福利,高温补贴,员工旅游,带薪年假,周末双休"
经营合同主管,华实建设,长沙,6千-8千,本科,股份制企业,500-999人,销售业务,3-5年,"年底双薪,绩效奖金,交通补助,餐补,通讯补助,定期体检,五险"
资深销售经理（湖南）,数字政通,长沙,2.5万-3.5万,本科,股份制企业,1000-9999人,销售管理,3-5年,"五险一金,包住,弹性工作,定期体检,高温补贴,节日福利"
销售经理（湖南）,中孚信息,长沙,1万-1.5万,本科,股份制企业,1000-9999人,销售管理,3-5年,"五险一金,带薪年假,节日福利,周末双休,绩效奖金,定期团建"
外贸业务员,湖南元亨科技股份有限公司,长沙,8千-1.5万,本科,股份制企业,300-499人,销售业务,3-5年,"五险一金,绩效奖金,年终分红,带薪年假,定期体检,员工旅游,项目奖金,节日福利"
销售经理,永中软件股份有限公司,长沙,8千-1.5万,本科,股份制企业,100-299人,销售管理,3-5年,"五险一金,交通补助,餐补,通讯补助,带薪年假,定期体检,高温补贴,节日福利"
省区经理-湖北、湖南、江西,贵州国坛老窖和佳酒业股份有限公司,长沙,6千-1.2万,本科,股份制企业,500-999人,销售管理,3-5年,"五险一金,年底双薪,绩效奖金,包吃,包住,带薪年假,节日福利"
销售经理/销售主管,湖南英盟科技有限公司,长沙,1万-2万,本科,股份制企业,20-99人,销售管理,3-5年,"五险一金,绩效奖金,全勤奖,包吃,餐补,带薪年假"
业务代表（长沙办事处）,四特酒有限责任公司,长沙,6千-8千,本科,股份制企业,1000-9999人,销售业务,3-5年,"带薪年假,高温补贴,年终奖,餐补,房补"
市场拓展经理,深圳市金地楼宇工程有限公司武汉分公司,长沙,6千-1万,本科,股份制企业,100-299人,销售业务,3-5年,"五险一金,绩效奖金,带薪年假,员工旅游,高温补贴,节日福利"
高级销售经理（湖南）,数字政通,长沙,2.5万-3.5万,本科,股份制企业,1000-9999人,销售管理,3-5年,"五险一金,包住,弹性工作,定期体检,高温补贴,节日福利"
客户经理,用友能源,长沙,8千-1.5万,本科,股份制企业,300-499人,销售业务,3-5年,"餐补,通讯补助,带薪年假,定期体检,五险一金,节日福利"
招商主管（全国各省）,迈基诺基因,长沙,8千-1万,本科,股份制企业,100-299人,生物/制药/医疗器械,3-5年,"周末双休,五险一金,住房补贴,节日福利,员工旅游,带薪年假,绩效奖金,通讯补助"
大客户经理,湖南元亨科技股份有限公司,长沙,2万-3万,本科,股份制企业,300-499人,销售管理,3-5年,"五险一金,绩效奖金,年终分红,带薪年假,定期体检,员工旅游,项目奖金,节日福利"
省区销售经理,安徽众邦生物工程有限公司,长沙,6千-1.2万,本科,股份制企业,20-99人,销售管理,3-5年,"五险一金,全勤奖,绩效奖金,带薪年假,餐补,通讯补助,交通补助"
平台互动经理,三诺生物,长沙,7千-9千,本科,股份制企业,1000-9999人,互联网产品/运营管理,3-5年,"五险一金,年底双薪,绩效奖金,交通补助,通讯补助,带薪年假,员工旅游,节日福利"
外贸主管,长沙盈鑫饰品工贸有限公司,长沙,1万-1.5万,本科,股份制企业,100-299人,销售业务,3-5年,"周末双休,餐补,项目奖金,绩效奖金,公司重点项目,年终分红,包住,五险一金"
客户主任,至简天成文化传媒有限公司,长沙,6千-1万,本科,股份制企业,20-99人,广告/会展,3-5年,"五险一金,绩效奖金,带薪年假,高温补贴,周末双休,大牛带队,节日福利"
